prior,reps,time,state,obs,action,value
ghost,4,7,1,1,1,-0
ghost,4,8,1,1,1,-0
ghost,4,9,1,1,1,-0
ghost,4,10,1,1,1,-0
ghost,4,11,1,1,1,-0
ghost,4,12,1,1,1,-0
ghost,4,13,1,1,1,-0
ghost,4,14,1,1,1,-0
ghost,4,15,1,1,1,-0
ghost,4,16,1,1,1,-0
ghost,4,17,1,1,1,-0
ghost,4,18,1,1,1,-0
ghost,4,19,1,1,1,-0
ghost,4,20,1,1,1,-0
ghost,4,21,1,1,1,-0
ghost,4,22,1,1,1,-0
ghost,4,23,1,1,1,-0
ghost,4,24,1,1,1,-0
ghost,4,25,1,1,1,-0
ghost,4,26,1,1,1,-0
ghost,4,27,1,1,1,-0
ghost,4,28,1,1,1,-0
ghost,4,29,1,1,1,-0
ghost,4,30,1,1,1,-0
ghost,4,31,1,1,1,-0
ghost,4,32,1,1,1,-0
ghost,4,33,1,1,1,-0
ghost,4,34,1,1,1,-0
ghost,4,35,1,1,1,-0
ghost,4,36,1,1,1,-0
ghost,4,37,1,1,1,-0
ghost,4,38,1,1,1,-0
ghost,4,39,1,1,1,-0
ghost,4,40,1,1,1,-0
ghost,4,41,1,1,1,-0
ghost,4,42,1,1,1,-0
ghost,4,43,1,1,1,-0
ghost,4,44,1,1,1,-0
ghost,4,45,1,1,1,-0
ghost,4,46,1,1,1,-0
ghost,4,47,1,1,1,-0
ghost,4,48,1,1,1,-0
ghost,4,49,1,1,1,-0
ghost,4,50,1,1,1,-0
ghost,4,51,1,1,1,-0
ghost,4,52,1,1,1,-0
ghost,4,53,1,1,1,-0
ghost,4,54,1,1,1,-0
ghost,4,55,1,1,1,-0
ghost,4,56,1,1,1,-0
ghost,4,57,1,1,1,-0
ghost,4,58,1,1,1,-0
ghost,4,59,1,1,1,-0
ghost,4,60,1,1,1,-0
ghost,5,1,21,21,49,-47.952
ghost,5,2,2,2,3,-1.996002
ghost,5,3,1,1,1,-0
ghost,5,4,1,1,1,-0
ghost,5,5,1,1,1,-0
ghost,5,6,1,1,1,-0
ghost,5,7,1,1,1,-0
ghost,5,8,1,1,1,-0
ghost,5,9,1,1,1,-0
ghost,5,10,1,1,1,-0
ghost,5,11,1,1,1,-0
ghost,5,12,1,1,1,-0
ghost,5,13,1,1,1,-0
ghost,5,14,1,1,1,-0
ghost,5,15,1,1,1,-0
ghost,5,16,1,1,1,-0
ghost,5,17,1,1,1,-0
ghost,5,18,1,1,1,-0
ghost,5,19,1,1,1,-0
ghost,5,20,1,1,1,-0
ghost,5,21,1,1,1,-0
ghost,5,22,1,1,1,-0
ghost,5,23,1,1,1,-0
ghost,5,24,1,1,1,-0
ghost,5,25,1,1,1,-0
ghost,5,26,1,1,1,-0
ghost,5,27,1,1,1,-0
ghost,5,28,1,1,1,-0
ghost,5,29,1,1,1,-0
ghost,5,30,1,1,1,-0
ghost,5,31,1,1,1,-0
ghost,5,32,1,1,1,-0
ghost,5,33,1,1,1,-0
ghost,5,34,1,1,1,-0
ghost,5,35,1,1,1,-0
ghost,5,36,1,1,1,-0
ghost,5,37,1,1,1,-0
ghost,5,38,1,1,1,-0
ghost,5,39,1,1,1,-0
ghost,5,40,1,1,1,-0
ghost,5,41,1,1,1,-0
ghost,5,42,1,1,1,-0
ghost,5,43,1,1,1,-0
ghost,5,44,1,1,1,-0
ghost,5,45,1,1,1,-0
ghost,5,46,1,1,1,-0
ghost,5,47,1,1,1,-0
ghost,5,48,1,1,1,-0
ghost,5,49,1,1,1,-0
ghost,5,50,1,1,1,-0
ghost,5,51,1,1,1,-0
ghost,5,52,1,1,1,-0
ghost,5,53,1,1,1,-0
ghost,5,54,1,1,1,-0
ghost,5,55,1,1,1,-0
ghost,5,56,1,1,1,-0
ghost,5,57,1,1,1,-0
ghost,5,58,1,1,1,-0
ghost,5,59,1,1,1,-0
ghost,5,60,1,1,1,-0
ghost,6,1,21,21,49,-47.952
ghost,6,2,2,2,3,-1.996002
ghost,6,3,1,1,1,-0
ghost,6,4,1,1,1,-0
ghost,6,5,1,1,1,-0
ghost,6,6,1,1,1,-0
ghost,6,7,1,1,1,-0
ghost,6,8,1,1,1,-0
ghost,6,9,1,1,1,-0
ghost,6,10,1,1,1,-0
ghost,6,11,1,1,1,-0
ghost,6,12,1,1,1,-0
ghost,6,13,1,1,1,-0
ghost,6,14,1,1,1,-0
ghost,6,15,1,1,1,-0
ghost,6,16,1,1,1,-0
ghost,6,17,1,1,1,-0
ghost,6,18,1,1,1,-0
ghost,6,19,1,1,1,-0
ghost,6,20,1,1,1,-0
ghost,6,21,1,1,1,-0
ghost,6,22,1,1,1,-0
ghost,6,23,1,1,1,-0
ghost,6,24,1,1,1,-0
ghost,6,25,1,1,1,-0
ghost,6,26,1,1,1,-0
ghost,6,27,1,1,1,-0
ghost,6,28,1,1,1,-0
ghost,6,29,1,1,1,-0
ghost,6,30,1,1,1,-0
ghost,6,31,1,1,1,-0
ghost,6,32,1,1,1,-0
ghost,6,33,1,1,1,-0
ghost,6,34,1,1,1,-0
ghost,6,35,1,1,1,-0
ghost,6,36,1,1,1,-0
ghost,6,37,1,1,1,-0
ghost,6,38,1,1,1,-0
ghost,6,39,1,1,1,-0
ghost,6,40,1,1,1,-0
ghost,6,41,1,1,1,-0
ghost,6,42,1,1,1,-0
ghost,6,43,1,1,1,-0
ghost,6,44,1,1,1,-0
ghost,6,45,1,1,1,-0
ghost,6,46,1,1,1,-0
ghost,6,47,1,1,1,-0
ghost,6,48,1,1,1,-0
ghost,6,49,1,1,1,-0
ghost,6,50,1,1,1,-0
ghost,6,51,1,1,1,-0
ghost,6,52,1,1,1,-0
ghost,6,53,1,1,1,-0
ghost,6,54,1,1,1,-0
ghost,6,55,1,1,1,-0
ghost,6,56,1,1,1,-0
ghost,6,57,1,1,1,-0
ghost,6,58,1,1,1,-0
ghost,6,59,1,1,1,-0
ghost,6,60,1,1,1,-0
ghost,7,1,21,21,49,-47.952
ghost,7,2,2,2,3,-1.996002
ghost,7,3,1,1,1,-0
ghost,7,4,1,1,1,-0
ghost,7,5,1,1,1,-0
ghost,7,6,1,1,1,-0
ghost,7,7,1,1,1,-0
ghost,7,8,1,1,1,-0
ghost,7,9,1,1,1,-0
ghost,7,10,1,1,1,-0
ghost,7,11,1,1,1,-0
ghost,7,12,1,1,1,-0
ghost,7,13,1,1,1,-0
ghost,7,14,1,1,1,-0
ghost,7,15,1,1,1,-0
ghost,7,16,1,1,1,-0
ghost,7,17,1,1,1,-0
ghost,7,18,1,1,1,-0
ghost,7,19,1,1,1,-0
ghost,7,20,1,1,1,-0
ghost,7,21,1,1,1,-0
ghost,7,22,1,1,1,-0
ghost,7,23,1,1,1,-0
ghost,7,24,1,1,1,-0
ghost,7,25,1,1,1,-0
ghost,7,26,1,1,1,-0
ghost,7,27,1,1,1,-0
ghost,7,28,1,1,1,-0
ghost,7,29,1,1,1,-0
ghost,7,30,1,1,1,-0
ghost,7,31,1,1,1,-0
ghost,7,32,1,1,1,-0
ghost,7,33,1,1,1,-0
ghost,7,34,1,1,1,-0
ghost,7,35,1,1,1,-0
ghost,7,36,1,1,1,-0
ghost,7,37,1,1,1,-0
ghost,7,38,1,1,1,-0
ghost,7,39,1,1,1,-0
ghost,7,40,1,1,1,-0
